id,user_name,tweet,created_at,retweet_count
1098319953126658049,Mary Elizabeth,RT TorontoStar Financial support is pouring in for the parents who lost their seven children in a devastating house fire on Tuesday http ,Wed Feb 20 20:34:17 +0000 2019,0
1098319990506307584,Mary Elizabeth,RT BethPJohnston Woman asking people to put stuffed animals on doorsteps to remember seven kids killed in Halifax fire The Star https ,Wed Feb 20 20:34:26 +0000 2019,0
1098319991403876353,Emily Miller,At first glance this paragraph could be from a piece published today but actually it was written about Halifax i ,Wed Feb 20 20:34:26 +0000 2019,0
1098319995900252161,La maleta de Maggie,RT VisitNovaScotia A2 Burger Week is coming up in Halifax in March Nothing warms you up in winter like a delicious burger Photo via Ri ,Wed Feb 20 20:34:27 +0000 2019,0
1098320040041025540,Morteza,RT DomAnglade Quelle trag die comment ne pas tre boulvers par ce drame lan de solidarit pour les enfants syriens morts dans un in ,Wed Feb 20 20:34:38 +0000 2019,0
1098320113525129216,Max,RT CaptainAnatine very tragic they may have been unfamiliar with western appliances and safety precautions we just take for granted ht ,Wed Feb 20 20:34:55 +0000 2019,0
1098320151819182081,Public Policy Forum,Find out more about the dangers of deepfakes and other synthetic media at a free lecture by carljackmiller on M ,Wed Feb 20 20:35:04 +0000 2019,0
1098320215325245445,Bigg Ned,That is awful a family of 9 has now come to 2 very sad may the 7 children Rest In Peace and I hope their par ,Wed Feb 20 20:35:19 +0000 2019,0
1098320285281837056,Gary mackay,RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Wed Feb 20 20:35:36 +0000 2019,0
1098320316332429312,Russell Fire Dept,We would like to express our sorrow to all affected by this devastating fire Please take the time to test your smo ,Wed Feb 20 20:35:43 +0000 2019,0
1098320341980663808,Marzie Azimi,RT DomAnglade Quelle trag die comment ne pas tre boulvers par ce drame lan de solidarit pour les enfants syriens morts dans un in ,Wed Feb 20 20:35:49 +0000 2019,0
1098320343683469312,GlobalPublicAffairs,RT ppforumca Find out more about the dangers of deepfakes and other synthetic media at a free lecture by carljackmiller on March 6 at ,Wed Feb 20 20:35:50 +0000 2019,0
1098320464647139329,NEWS 95 7 Halifax,Two arrested in Halifax after guns stolen from Hantsport home ,Wed Feb 20 20:36:19 +0000 2019,0
1098320559295868928,Mohammed Aloui,Trag die humaine Famille syrienne qui a fuit son pays d vast est d cim e dans son pays d accueil Canada Les 7 e ,Wed Feb 20 20:36:41 +0000 2019,0
1098320562366107648,Air Canada, Coopacdc Hello thank you for reaching out to us We currently do not have Halifax in our Daily Travel Advisory li ,Wed Feb 20 20:36:42 +0000 2019,0
1098320602824347650,Sara Leach,RT Laker PatHealey Put a Teddy Bear outside on your doorstep in support of the BarhoFamily SpryfieldStrong ElmsdaleStrong Halifax Sp ,Wed Feb 20 20:36:52 +0000 2019,0
1098320693043912710,VATSIM Spain,RT NoticiasAirSim El pr ximo 2 de marzo en vatsimSpain y CZQM FIR evento Cross The Pond Lite Eastbound Entre Halifax y Bilbao de 13z ,Wed Feb 20 20:37:13 +0000 2019,0
1098320763541692416,Q104 Halifax,Bayers Road inbound broken down bus close to Halifax Shopping Center ,Wed Feb 20 20:37:30 +0000 2019,0
1098320795816857603,Mirza,RT MBBerjawi While studying medicine at LebAmUniv I had my medical electives in the hospitals of Halifax Montreal and Toronto ironical ,Wed Feb 20 20:37:38 +0000 2019,0
1098320877953794048,Monique Costa,THIS Vancouver SchittsCreek danjlevy schittstour SchittsTour,Wed Feb 20 20:37:57 +0000 2019,0
1098320906387107840,mac ,RT CTVNewsNorthern To honour the seven children killed in the Halifax fire one woman is leading an effort to have neighbours put out ted ,Wed Feb 20 20:38:04 +0000 2019,0
1098320914683375618,Boonaa Mohammed,Syrian refugee family in Halifax Canada bus all died in a house fire except the mom Please pray for them and support ,Wed Feb 20 20:38:06 +0000 2019,0
1098320941820588033,Rob Ryan,RT firebethfox Halifax peeps Are you starting a new business in NovaScotia Have you recently registered a Sole Prop Partnership Got 1 ,Wed Feb 20 20:38:13 +0000 2019,0
1098320982194962432, ,RT NatashaPace A GoFundMe Page to help with expenses following the tragic deaths of 7 children this morning in Halifax has raised over 5 ,Wed Feb 20 20:38:22 +0000 2019,0
1098320992299028485,kevin johnson,RT kyliesmiles101 7 children of Syrian refugee family dead in Halifax house fire CBC News ,Wed Feb 20 20:38:25 +0000 2019,0
1098321008430338048,Ali ,RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Wed Feb 20 20:38:28 +0000 2019,0
1098321030400147458,Steve Mower,Go on big jack laaaddd,Wed Feb 20 20:38:34 +0000 2019,0
1098321172402442246,Taylorrrr,RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Wed Feb 20 20:39:07 +0000 2019,0
1098321181499899906,Jonathan Knight, It seems impossible Group that sponsored Syrian refugee family mourns children killed in fire CBC News ,Wed Feb 20 20:39:10 +0000 2019,0
1098321178844901376,Stephanie ,It was a gorgeous but chilly at Queensland Beach today Halifax not Australia May have been walking on the mo ,Wed Feb 20 20:39:09 +0000 2019,0
1098321230413860872,Dillon Spicer,RT thestarhalifax Just in from police ,Wed Feb 20 20:39:21 +0000 2019,0
1098321242321547269,a ,RT Cam Oflage it would be rly good if the general energy in Canada shifted away from assuming we can t end up like Brazil the US etc ,Wed Feb 20 20:39:24 +0000 2019,0
1098321324332777472,Sandra Pike dealsinheels,Actions will always speak louder than words If there is one thing I am known for is being a go getter geterdone ,Wed Feb 20 20:39:44 +0000 2019,0
1098321421284053006,Deb B,RT CBCAlerts Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking people to avo ,Wed Feb 20 20:40:07 +0000 2019,0
1098321453940948993,CameraguyRob ,RT CBCAlerts Police at N S school responding to weapons complaint Nearby streets shut down Halifax Regional Police asking people to avo ,Wed Feb 20 20:40:15 +0000 2019,0
1098321476384624640,Jamie MacQueen,HALIFAX Treat us with respect We re a Big City ALSO HALIFAX Please hold this bright orange safety flag when you use the crosswalk ,Wed Feb 20 20:40:20 +0000 2019,0
1098321501491728390,Jake Hagen,RT jackhauen Meanwhile here are some comments from the alt right metacanada subreddit on the Halifax fire that killed seven children ,Wed Feb 20 20:40:26 +0000 2019,0
1098321533909508097,Maryam N,RT Gandom09272930 In the recent years IranianRefugeesInTurkey have lost all opportunities to provide a reasonable condition for our chil ,Wed Feb 20 20:40:34 +0000 2019,0
1098321536937791488,Dillon Spicer,Dartmouth High School on lockdown following weapons complaint via torontostar,Wed Feb 20 20:40:34 +0000 2019,0
1098321555900325891,Maryam N,RT Gandom09272930 In the recent years IranianRefugeesInTurkey have lost all opportunities to provide a reasonable condition for our chil ,Wed Feb 20 20:40:39 +0000 2019,0
1098321636368023552,Wile E Coyote, spursfan13579 Hi Just seen your living in Halifax Are Signall Hill still playing at the Lower Deck ,Wed Feb 20 20:40:58 +0000 2019,0
1098321841645649920,David,RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Wed Feb 20 20:41:47 +0000 2019,0
1098321865888747521,Shed,RT LocalYokel Calderdale is there anything you could do to encourage private car park owners to clean up their act This is Matalan in ,Wed Feb 20 20:41:53 +0000 2019,0
1098321892904222722,Karam Foundation,Our deepest condolences to Ibrahim and Kawthar Bahro who lost their 7 children in a tragic fire last night The fam ,Wed Feb 20 20:41:59 +0000 2019,0
1098321921861709825,FuzzySockz ProudNationalist ,RT MaximeBernier What was I saying again yesterday about cartels putting politicians in their pockets Their tactics have sure succeede ,Wed Feb 20 20:42:06 +0000 2019,0
